PlanId,PlanName,DesignId,Run,Tags,Output
PLoginTest,Verify_Login_Process,D1,Y,UI,login_success
PUI_AddContact,Verify_UI_AddContact,D1,Y,UI,contact_added
PUI_AddRemoveElements,Verify_Add_Remove_Elements,D1,Y,UI,add_remove_success
PUI_Checkboxes,Verify_Checkboxes_Functionality,D1,Y,UI,checkbox_success
PUI_DragAndDrop,Verify_Drag_And_Drop,D1,N,UI,drag_drop_success
PUI_Dropdown,Verify_Dropdown_Selection,D1,N,UI,dropdown_success
PUI_FileUpload,Verify_File_Upload,D1,N,UI,upload_success
PUI_JavaScriptAlerts,Verify_JS_Alerts,D1,N,UI,alerts_success
PUI_KeyPresses,Verify_Key_Presses,D1,N,UI,keypress_success
PUI_Hovers,Verify_Hover_Actions,D1,N,UI,hover_success
PUI_ContextMenu,Verify_Context_Menu,D1,N,UI,context_menu_success
PUI_FormAuth,Verify_Form_Authentication,D1,N,UI,auth_success
PUI_DynamicControls,Verify_Dynamic_Controls,D1,N,UI,dynamic_success
PUI_ChallengingDOM,Verify_Challenging_DOM,D1,N,UI,dom_success
PUI_FloatingMenu,Verify_Floating_Menu,D1,N,UI,floating_success
PUI_Inputs,Verify_Input_Fields,D1,N,UI,inputs_success
PUI_StatusCodes,Verify_Status_Codes,D1,N,UI,status_success
PMath_Addition,Verify_Math_Addition,D1;D2,Y,Math,addition_result
PMath_Multiplication,Verify_Math_Multiplication,D1,N,Math,multiplication_result
PMath_Power,Verify_Math_Power,D1,N,Math,power_result
PMath_Division,Verify_Math_Division,D1,N,Math,division_result
PMath_Area,Verify_Math_CircleArea,D1;D2,Y,Math,area_result
PAPI_PetAdd,Verify_API_PetAdd,D1,Y,petstore,pet_add_status
PAPI_PetGet,Verify_API_PetGet,D1,Y,petstore,pet_status
PAPI_PetDelete,Verify_API_PetDelete,D1,Y,petstore,pet_delete_status
PAPI_UserGet,Verify_API_UserGet,D1,Y,reqres,user_status
PAPI_UsersGet,Verify_API_UsersGet,D1,Y,reqres,users_status
PAPI_UserCreate,Verify_API_UserCreate,D1,Y,reqres,user_create_status
PAI_TextPrompt,Verify_AI_TextPrompt,D1,N,AI,prompt_response
PAI_ContextPrompt,Verify_AI_ContextPrompt,D1,N,AI,context_response
PAI_WeatherPrompt,Verify_AI_WeatherPrompt,D1,N,AI,weather_response
PAI_NewsPrompt,Verify_AI_NewsPrompt,D1,N,AI,news_response
PAI_CricketPrompt,Verify_AI_CricketPrompt,D1,N,AI,cricket_response
