PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PLoginTest,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
PLoginTest,2,Navigate to URL,xUI,xNavigate,cog_url,,,y
PLoginTest,3,Type Email,xUI,xType,email;email_xpath,,,y
PLoginTest,4,Type Password,xUI,xType,password;password_xpath,,,y
PLoginTest,5,Click Login,xUI,xClick,login_button_xpath,,,y
PLoginTest,6,Wait for Dashboard,xUI,xWaitFor,user_menu_xpath,,,y
PLoginTest,7,Verify Title,xUI,xGetTitle,,,,n
PUI_AddContact,1,Login Reuse,xReuse,PLoginTest,,,,y
PUI_AddContact,2,Click Contacts Menu,xUI,xClick,contacts_menu_xpath,,Clicked element,n
PUI_AddContact,3,Click New Contact,xUI,xClick,new_contact_button_xpath,,Clicked element,n
PUI_AddContact,4,Type First Name,xUI,xType,first_name_value;first_name_xpath,,,n
PUI_AddContact,5,Type Last Name,xUI,xType,last_name_value;last_name_xpath,,,n
PUI_AddContact,6,Click Save,xUI,xClick,save_button_xpath,,Clicked element,n
PUI_AddContact,7,Wait for Save Completion,xUI,xWaitFor,contact_header_xpath,,Element is present,n
PUI_AddContact,8,Wait for Contact View,xUI,xWaitFor,contact_header_xpath,,Element is present,n
PUI_AddContact,9,Verify Contact Name,xUI,xGetTitle,,,Free CRM,n
PUI_AddRemoveElements,1,Navigate to Add/Remove Elements,xUI,xNavigate,hk_add_remove_elements_url,,,y
PUI_AddRemoveElements,2,Click Add Element,xUI,xClick,hk_add_element_button,,,y
PUI_AddRemoveElements,3,Verify Delete Button Appears,xUI,xWaitFor,hk_delete_button,,,y
PUI_AddRemoveElements,4,Click Delete Button,xUI,xClick,hk_delete_button,,,y
PUI_AddRemoveElements,5,Verify Page Title,xUI,xGetTitle,,,The Internet,n
PUI_AddRemoveElements,6,Close Browser,xUI,xCloseBrowser,,,Browser closed,n
PUI_Checkboxes,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
PUI_Checkboxes,2,Navigate to Checkboxes,xUI,xNavigate,hk_checkboxes_url,,,y
PUI_Checkboxes,3,Check First Checkbox,xUI,xClick,hk_checkbox1,,,y
PUI_Checkboxes,4,Uncheck Second Checkbox,xUI,xClick,hk_checkbox2,,,y
PUI_Checkboxes,5,Verify First Checkbox Checked,xUI,xIsChecked,hk_checkbox1,,checked,y
PUI_Checkboxes,6,Verify Second Checkbox Unchecked,xUI,xIsChecked,hk_checkbox2,,unchecked,y
PUI_Checkboxes,7,Verify Page Title,xUI,xGetTitle,,,The Internet,n
PUI_DragAndDrop,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
PUI_DragAndDrop,2,Navigate to Drag and Drop,xUI,xNavigate,hk_drag_and_drop_url,,,y
PUI_DragAndDrop,3,Drag Column A to Column B,xUI,xDragAndDrop,hk_column_a;hk_column_b,,,y
PUI_DragAndDrop,4,Verify Column A Text,xUI,xGetText,hk_column_a,,Column B,y
PUI_DragAndDrop,5,Verify Column B Text,xUI,xGetText,hk_column_b,,Column A,y
PUI_DragAndDrop,6,Close Browser,xUI,xCloseBrowser,,,,n
PUI_Dropdown,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
PUI_Dropdown,2,Navigate to Dropdown,xUI,xNavigate,hk_dropdown_url,,,y
PUI_Dropdown,3,Select Option 1,xUI,xSelect,hk_dropdown_element;hk_option1,,,y
PUI_Dropdown,4,Verify Option 1 Selected,xUI,xGetText,hk_option1,,Option 1,y
PUI_Dropdown,5,Select Option 2,xUI,xSelect,hk_dropdown_element;hk_option2,,,y
